Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1971-1975	1	1	ABANDONED MOTOR VEHICLES	See	See: Motor Vehicles	f	1										
Va. Acts Index	1971-1975	1	2	ABINGDON (Town)	Citation	Charter; amending	f	1	Va. Acts	1972				40		45	H.B.	141
Va. Acts Index	1971-1975	1	3	ABINGDON (Town)	Citation	School district for town of Abingdon and Abingdon magisterial district, joint; abolished. Repealing Chapter 28, 1956 Acts	f	1	Va. Acts	1971				523		256	H.B.	213
Va. Acts Index	1971-1975	1	4	ABORTION	Citation	Abortion; conscience clause excludes hospitals, physicians and individuals from procedures. Adding § 18.1-63.1.	f	1	Va. Acts	1974				1256		679	H.B.	1040
Va. Acts Index	1971-1975	1	5	ABORTION	Citation	Abortion or miscarriage; any person shall be guilty of misdemeanor when encouraging by publication, lecture, advertisement, etc., or through use of a referral agency for profit. Amending § 18.1-63	f	1	Va. Acts	1972				1019		725	H.B.	735
Va. Acts Index	1971-1975	1	6	ABORTION	Citation	Fetal deaths; include those caused by abortion, reports thereof. Amending §§ 32-353.4 and 32-353.21	f	1	Va. Acts	1975				457		267	S.B.	949
Va. Acts Index	1971-1975	1	7	ABORTION	Citation	Hospital Abortion Review Board; members to include a specialist in obstetrics or gynecology, definition. Amending § 18.1-62.2.	f	1	Va. Acts	1971				522		255	H.B.	212
Va. Acts Index	1971-1975	1	8	ACADEMY OF MUSIC THEATER, INC.	See	See: Tax Exempt Organizations	f	1										
Va. Acts Index	1971-1975	1	9	ACCIDENT AND SICKNESS INSURANCE	See	See: Insurance	f	1										
Va. Acts Index	1971-1975	1	10	ACCOMACK COUNTY	Citation	School boards in certain counties, cities and towns; salaries. Amending § 22-67.2.	f	1	Va. Acts	1972				809		623	H.B.	57
Va. Acts Index	1971-1975	1	11	ACCOMACK COUNTY	Citation	Starling's Island in Accomack County; Virginia Institute of Marine Science to study ownership with and as a part of common lands of the Commonwealth	f	1	Va. Acts	1975				1548			S.J.R.	153
Va. Acts Index	1971-1975	1	12	ACCOMACK COUNTY	Citation	Supervisors, Campbell, Accomack, Northampton and Chesterfield County Boards of; salaries. Amending § 14.1-46	f	1	Va. Acts	1973				425		312	S.B.	772
Va. Acts Index	1971-1975	1	13	ACCOMACK COUNTY	Citation	Supervisors, Wythe, Roanoke, Accomack and Northampton County Boards of, and counties with county manager form of government; salaries. Amending § 14.1-46	f	1	Va. Acts	1973				1048		489	H.B.	1155
Va. Acts Index	1971-1975	1	14	ACCOUNTANTS AND ACCOUNTING	See	See: Professions and Occupations	f	1										
Va. Acts Index	1971-1975	1	15	ACCOUNTING OFFICE, VIRGINIA GENERAL	See	See: General Assembly	f	1										
Va. Acts Index	1971-1975	1	16	ACCOUNTS, COMMISSIONERS OF	See	See: Fiduciaries Generally	f	1										
Va. Acts Index	1971-1975	1	17	ACKNOWLEDGMENTS	See	See: Property and Conveyances	f	1										
Va. Acts Index	1971-1975	1	18	ACTIONS AND SUITS	Citation	Accounts, commissioners of, and assistants and deputies; to have power to issue subpoenas requiring persons to appear before them. Adding § 26-8.1.	f	1	Va. Acts	1974				238		126	S.B.	323
Va. Acts Index	1971-1975	1	19	ACTIONS AND SUITS	Citation	Bad checks; in any prosecution or action, any notation attached to or stamped upon a check prima facie evidence that such notation is true and correct. Amending § 6.1-117.1.	f	1	Va. Acts	1974				500		322	S.B.	247
Va. Acts Index	1971-1975	1	20	ACTIONS AND SUITS	Citation	Civil cases; deposit of money in lieu of bond. Amending § 16.1-108	f	1	Va. Acts	1975				419		227	S.B.	780
Va. Acts Index	1971-1975	1	21	ACTIONS AND SUITS	Citation	Civil cases; removal of action involving more than $500 to circuit court. Amending § 16.1-92	f	1	Va. Acts	1974				1168		613	H.B.	231
Va. Acts Index	1971-1975	1	22	ACTIONS AND SUITS	Citation	Claims; compromise and settlement when involved by any State department, institution, etc. Amending § 2.1-127	f	1	Va. Acts	1973				258		219	H.B.	1530
Va. Acts Index	1971-1975	2	1	ACTIONS AND SUITS	Citation	Claims for damages for negligence against cities and towns; increases time for filing Amending § 8-653	f	1	Va. Acts	1973				9		6	H.B.	1160
Va. Acts Index	1971-1975	2	2	ACTIONS AND SUITS	Citation	Claims on behalf of the Commonwealth; if not in excess of $5,000 may be brought in the Civil Court of the City of Richmond. Amending § 8-40	f	1	Va. Acts	1973				316		249	H.B.	1592
Va. Acts Index	1971-1975	2	3	ACTIONS AND SUITS	Citation	Collection agencies; unlawful to purchase debts and causes of action for purpose of collection by legal proceedings (to reenact in Title 8 provisions of repealed § 18.1-406) Adding § 8-94.1	f	1	Va. Acts	1975				226		56	S.B.	761
Va. Acts Index	1971-1975	2	4	ACTIONS AND SUITS	Citation	Condemnation cases; appointment of commissioners if any party in proceeding fails to submit list of names to court, judge may do so in party's behalf Amending § 25-46.20	f	1	Va. Acts	1974				1180		625	H.B.	332
Va. Acts Index	1971-1975	2	5	ACTIONS AND SUITS	Citation	Contractors, independent; completion of work and acceptance as satisfactory by owner of property or person employing contractor not to be defense in actions for damages	f	1	Va. Acts	1974				1248		669	H.B.	994
Va. Acts Index	1971-1975	2	6	ACTIONS AND SUITS	Citation	Criminal cases; exclusion of any person whose presence would impair the conduct of a fair trial. Amending § 19.1-246	f	1	Va. Acts	1971				37		28	H.B.	21
Va. Acts Index	1971-1975	2	7	ACTIONS AND SUITS	Citation	Damages for personal injury or death; not to be diminished because of reimbursement of income from other source, not to be admitted into evidence. Adding § 8-628.3.	f	1	Va. Acts	1974				275		155	H.B.	162
Va. Acts Index	1971-1975	2	8	ACTIONS AND SUITS	Citation	Death due to wrongful act; amount and distribution of damages. Adding § 8-636.1; repealing § 8-636	f	1	Va. Acts	1974				806		444	S.B.	441
Va. Acts Index	1971-1975	2	9	ACTIONS AND SUITS	Citation	Divorce; how defendant in suit may accept service of process. Adding § 20-99.1.	f	1	Va. Acts	1974				285		163	H.B.	454
Va. Acts Index	1971-1975	2	10	ACTIONS AND SUITS	Citation	Divorce; proceedings to be instituted in circuit court, final decree for maintenance and support. Amending § 20-79	f	1	Va. Acts	1974				917		473	S.B.	244
